report_name,genre,genre_source_url,publisher,publisher_source_url,comparable_game,comparison_reason,comparison_source_url,mobile_storefront_url
Beyond the World,Otome; Visual Novel; Adventure,https://play.google.com/store/apps/details?id=com.netease.sjzw.hmt,NetEase,https://play.google.com/store/apps/details?id=com.netease.sjzw.hmt,Love and Deepspace,"Both are romance-led mobile narrative adventures built around character relationships and story progression.",https://play.google.com/store/apps/details?id=com.papegames.lysk.en
Blade Heroes: Mecha Soul,Idle RPG; RPG,https://play.google.com/store/apps/details?id=com.efun.aexkxxl.sea,Efun,https://play.google.com/store/apps/details?id=com.efun.aexkxxl.sea,AFK Arena,"Both use automated progression, collectible heroes, and team-building as the primary loop.",https://play.google.com/store/apps/details?id=com.lilithgames.hgame.gp
CookieRun Classic,Endless Runner; Arcade,https://play.google.com/store/apps/details?id=com.devsisters.crg,Devsisters,https://play.google.com/store/apps/details?id=com.devsisters.crg,Sonic Dash,"Both are score-focused endless runners built around fast obstacle avoidance and repeat runs.",https://play.google.com/store/apps/details?id=com.sega.sonicdash
CookieRun: Crumble - Idle RPG,Idle RPG; Action,https://play.google.com/store/apps/details?id=com.devsisters.cc,Devsisters,https://play.google.com/store/apps/details?id=com.devsisters.cc,AFK Arena,"Both combine automated combat with roster progression and long-term account upgrades.",https://play.google.com/store/apps/details?id=com.lilithgames.hgame.gp
DIGIMON UP,Idle RPG; Creature Collection,https://dgup.bn-ent.net/en/,Bandai Namco Entertainment,https://dgup.bn-ent.net/en/,Pokémon Masters EX,"Both center on collecting recognizable creatures or characters and progressing teams through mobile RPG systems.",https://play.google.com/store/apps/details?id=com.dena.a12026418
DragonSword : Awakening,Open World; Action RPG; Anime RPG,https://store.steampowered.com/app/4570720/DragonSword__Awakening/,Hound13 Inc.,https://store.steampowered.com/app/4570720/DragonSword__Awakening/,Genshin Impact,"Both use anime-styled open-world exploration, real-time combat, and character progression.",https://genshin.hoyoverse.com/en/
EZ PZ: Byte Heroes,Card RPG; Strategy,https://play.google.com/store/apps/details?id=com.szqdgames.android.arzhg,Shenzhen Qudong Digital Entertainment Co. Ltd.,https://play.google.com/store/apps/details?id=com.szqdgames.android.arzhg,Slay the Spire,"Both use card-driven combat decisions and deck or build progression as the central strategy loop.",https://store.steampowered.com/app/646570/Slay_the_Spire/
Echoes of Aincrad,JRPG; Action RPG,https://en.bandainamcoent.eu/sword-art-online/echoes-of-aincrad,Bandai Namco Entertainment,https://en.bandainamcoent.eu/sword-art-online/echoes-of-aincrad,Tales of Arise,"Both are story-led action JRPGs built around real-time combat, quests, and party progression.",https://store.steampowered.com/app/740130/Tales_of_Arise/
Fields of Mistria,Farming Sim; Life Sim; RPG,https://store.steampowered.com/app/2142790/,NPC Studio,https://store.steampowered.com/app/2142790/,Stardew Valley,"Both combine farming, village relationships, crafting, and exploration in a life-simulation progression loop.",https://store.steampowered.com/app/413150/Stardew_Valley/
Fierce Ghosts: Three Kingdoms,Card RPG; Strategy,https://play.google.com/store/apps/details?id=com.kfive.gptw,Sumlahung,https://play.google.com/store/apps/details?id=com.kfive.gptw,AFK Arena,"Both use collectible team formation and strategic card or hero progression.",https://play.google.com/store/apps/details?id=com.lilithgames.hgame.gp
JoJo's Bizarre Adventure: GS,Anime RPG; Action RPG,https://play.google.com/store/apps/details?id=com.wanda.jojo.gp.global,Hoolai Game Limited,https://play.google.com/store/apps/details?id=com.wanda.jojo.gp.global,Dragon Ball Legends,"Both are licensed anime mobile RPGs built around collectible characters and action-oriented battles.",https://play.google.com/store/apps/details?id=com.bandainamcoent.dblegends_ww
MAJO - Apocalypse Tactics RPG,Tactical RPG; Turn-Based Strategy,https://majo-official.com/en/,DarkWind Ltd.,https://majo-official.com/en/,XCOM 2,"Both use squad positioning, turn-based decisions, and team progression under tactical combat rules.",https://store.steampowered.com/app/268500/XCOM_2/
MS: Freedom Horizon,Strategy; Turn-Based Strategy,https://apps.apple.com/kh/app/ms-freedom-horizon/id6776172319,EAST SEA ENERGY ENVIRONMENT COMPANY LIMITED,https://apps.apple.com/kh/app/ms-freedom-horizon/id6776172319,Into the Breach,"Both emphasize turn-based tactical planning with mechanical units and constrained battlefield decisions.",https://store.steampowered.com/app/590380/Into_the_Breach/
Oracle of the Holy Grail,RPG; Puzzle; Adventure,https://apps.apple.com/tw/app/%E8%81%96%E6%9D%AF%E7%A5%9E%E8%AB%AD/id6778656959,Guangzhou Wansheng Technology,https://apps.apple.com/tw/app/%E8%81%96%E6%9D%AF%E7%A5%9E%E8%AB%AD/id6778656959,Professor Layton and the Curious Village,"Both use clue-solving and puzzle progression within a fantasy adventure presentation.",https://www.nintendo.com/us/store/products/layton-and-the-new-world-of-steam-switch/,https://apps.apple.com/tw/app/%E8%81%96%E6%9D%AF%E7%A5%9E%E8%AB%AD/id6778656959
