meeting_date,report_start_date,report_end_date,context_type,radar_section,matched_report_game,match_method,event_date,hot_score,hot_reasons,source,source_tier,source_tier_label,region,title,title_en,url,published_at,first_seen_at,last_seen_at,radar_generated_at,inclusion_reason,story_key,include_in_final_report,final_report_section,editor_decision,editor_note,key_details,why_it_matters
2026-08-18,2026-08-04,2026-08-17,industry_trend,industry_reports,,industry_story_theme,2026-08-04,103,game_lifecycle; platform_store; market_keyword,IGN Southeast Asia,major_gaming_media,Major gaming media,GLOBAL,Gears of War: E-Day Open Beta Leads Xbox Game Pass August 2026 Lineup,,https://sea.ign.com/ball-x-pit/246391/gears-of-war-e-day-open-beta-leads-xbox-game-pass-august-2026-lineup,2026-08-04T15:24:51+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,xbox_restructure,,,,,,
2026-08-18,2026-08-04,2026-08-17,industry_trend,industry_reports,,industry_story_theme,2026-08-05,74,business; market_keyword,One More Game PH,regional_gaming_media,Regional gaming media,PH,Electronic Arts Completes $55 Billion Acquisition by Saudi Arabia’s Public Investment Fund,Electronic Arts completes $55 billion acquisition by Saudi Arabia's Public Investment Fund,https://onemoregame.ph/2026/08/electronic-arts-acquisition-complete-pif/,2026-08-05T00:30:34+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,publisher_mna,yes,Industry Trends,include,"EA completed its $55 billion acquisition by a Saudi PIF-led group. This is a material global publisher-ownership change relevant across SEA6, not a local performance claim.","Electronic Arts completed its $55 billion acquisition by a Saudi PIF-led investor group, taking the publisher private.",A material global publisher-ownership change relevant across SEA6; it is not a local performance claim.
2026-08-18,2026-08-04,2026-08-17,industry_trend,industry_reports,,industry_story_theme,2026-08-04,71,game_lifecycle; market_keyword,ComicBook Gaming,major_gaming_media,Major gaming media,GLOBAL,Final Fantasy 7 Remake Trilogy Director Speaks Out Against the End of Physical Games,,https://comicbook.com/gaming/news/final-fantasy-7-remake-trilogy-director-speaks-out-against-the-end-of-physical-games/,2026-08-04T20:20:34+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Industry trend review candidate: high-score radar item; repeated story themes from earlier briefs are suppressed.,physical_media_shift,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,98,game_lifecycle; platform_store; market_keyword,Pocket Tactics,major_gaming_media,Major gaming media,GLOBAL,Final Fantasy 14 Nintendo Switch 2 release date,,https://www.pockettactics.com/final-fantasy-xiv/guide,2026-08-04T14:19:18+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,final fantasy nintendo switch release date,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,98,game_lifecycle; platform_store; market_keyword,RPG Site,major_gaming_media,Major gaming media,GLOBAL,"Crimson Moon launches on September 1 for PS5, Xbox, and PC platforms",,https://www.rpgsite.net/news/21036-crimson-moon-release-date-soundtrack-ps5-xbox-pc-steam,2026-08-04T18:00:00+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,xbox_restructure,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,90,game_lifecycle; platform_store; market_keyword,GamingonPhone,major_gaming_media,Major gaming media,GLOBAL,"Shinobi NEXUS -Senran Kagura is coming this year in Japan with command-based ninja battles, iOS pre-orders now live",,https://gamingonphone.com/news/shinobi-nexus-senran-kagura-is-coming-this-year-in-japan-with-command-based-ninja-battles-ios-pre-orders-now-live/,2026-08-04T06:00:00+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,shinobi nexus senran kagura coming this year japan,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,90,game_lifecycle; platform_store; market_keyword,PinoyGamer,regional_gaming_media,Regional gaming media,PH,Smilegate’s next-gen MMORPG Eclipse: The Awakening opens pre-registration for both iOS and Android devices,,https://pinoygamer.ph/articles/smilegates-next-gen-mmorpg-eclipse-the-awakening-opens-pre-registration-for-both-ios-and-android-devices.27924/?utm_source=rss&utm_medium=rss,2026-08-04T03:11:35+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,smilegate next mmorpg eclipse awakening opens registration both,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,74,game_lifecycle; market_keyword,Gamer Matters,regional_gaming_media,Regional gaming media,MY,"Endless Legend 2 Hits 1.0 Leaving Early Access This September, Coming To Consoles",,https://gamermatters.com/endless-legend-2-hits-1-0-leaving-early-access-this-september-coming-to-consoles/,2026-08-04T13:43:04+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,endless legend hits leaving early access this september,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,74,game_lifecycle; market_keyword,PC Gamer,major_gaming_media,Major gaming media,GLOBAL,"Endless Legend 2 is escaping early access in September and adding new major, minor and rogue factions",,https://www.pcgamer.com/games/strategy/endless-legend-2-is-escaping-early-access-in-september-and-adding-new-major-minor-and-rogue-factions/,2026-08-04T15:17:14+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,endless legend escaping early access september adding major,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,74,game_lifecycle; market_keyword,Pokde.Net,mixed_portal,Mixed portals,MY,Garena-Developed Palworld Online MMORPG Set To Launch In 2026,,https://pokde.net/gaming/mobile/garena-palworld-online,2026-08-04T11:23:06+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,garena developed palworld online mmorpg launch 2026,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,74,game_lifecycle; market_keyword,Polygon,major_gaming_media,Major gaming media,GLOBAL,What time does the Gears of War E-Day early access multiplayer beta start in your time zone?,,https://www.polygon.com/gears-of-war-e-day-early-access-beta-release-time-edt-pdt/,2026-08-04T19:01:11+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,what time does gears early access multiplayer beta,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,74,game_lifecycle; market_keyword,RPG Site,major_gaming_media,Major gaming media,GLOBAL,Expeditions: Samurai gets a new Dev Diary going over Early Access plans and more,,https://www.rpgsite.net/news/21042-expeditions-samurai-new-early-access-plan-trailer,2026-08-04T13:47:00+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,expeditions samurai gets diary going over early access,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,74,game_lifecycle; market_keyword,The Magic Rain,mixed_portal,Mixed portals,MY,‘My Hero Academia UNITED SURVIVAL’ Mobile Game Launches On August 6,,https://themagicrain.com/2026/08/my-hero-academia-united-survival-mobile-game-launches-on-august-6/,2026-08-04T03:53:42+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,hero academia united survival mobile game launches august,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-05,74,game_lifecycle; market_keyword,Dot Esports,major_gaming_media,Major gaming media,GLOBAL,"Marvel Rivals Season 9.5: Release date and time, what to expect",,https://dotesports.com/marvel/guides/marvel-rivals-season-9-5-countdown-new-release-date,2026-08-05T03:26:55+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: hot_score >= 70; inside report period. Human approval required.,marvel rivals season release date time what expect,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,66,game_lifecycle; market_keyword,PinoyGamer,regional_gaming_media,Regional gaming media,PH,Global Open-World MMORPG MIR4 Opens Pre-Registration for New Class “Spirit Summoner” to Celebrate 5th Anniversary,,https://pinoygamer.ph/articles/global-open-world-mmorpg-mir4-opens-pre-registration-for-new-class-spirit-summoner-to-celebrate-5th-anniversary.27925/?utm_source=rss&utm_medium=rss,2026-08-04T05:36:30+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: qualifying regional launch or release announcement marker; inside report period. Human approval required.,global open world mmorpg mir4 opens registration class,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,53,platform_store; market_keyword,Player.One,major_gaming_media,Major gaming media,GLOBAL,"Xbox 360 Games Are Also Coming to PC, Claims Newly Discovered Leaked Documents",,https://www.player.one/xbox-360-games-are-also-coming-pc-claims-newly-discovered-leaked-documents-163778,2026-08-04T03:00:11+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: qualifying regional launch or release announcement marker; inside report period. Human approval required.,physical_media_shift,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-05,53,platform_store; market_keyword,Shacknews,major_gaming_media,Major gaming media,GLOBAL,Xbox 360 games coming to PC allege leaked documents,,/article/150253/xbox-360-games-on-pc-leaked-documents,2026-08-05T10:45:00+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: qualifying regional launch or release announcement marker; inside report period. Human approval required.,xbox_restructure,,,,,,
2026-08-18,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-04,0,,HardwareZone.com.sg,mixed_portal,Mixed portals,SG,"Garena’s Palworld Online, a licensed Palworld game, is coming to mobile in 2026",,https://www.hardwarezone.com.sg/entertainment/gaming/palworld-online-garena-mobile-mmorpg-pocketpair,2026-08-04T07:36:40+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,2026-08-05T04:08:31.878853+00:00,Game Announcement review candidate: qualifying regional launch or release announcement marker; inside report period. Human approval required.,garena palworld online licensed palworld game coming mobile,,,,,,
,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-07,74,game_lifecycle; market_keyword,GamesIndustry.biz,business_industry_media,Business / industry media,GLOBAL,"Strauss Zelnick: Netflix debut is merely ""one of the hors d'oeuvres"" for full GTA 6 launch; pre-order numbers are ""unprecedented and astonishing""",,https://www.gamesindustry.biz/strauss-zelnick-netflix-debut-is-merely-one-of-the-hors-doeuvres-for-full-gta-6-launch-pre-order-numbers-are-unprecedented-and-astonishing,2026-08-07T16:26:16+00:00,2026-08-24T01:56:01.745973+00:00,2026-08-24T02:07:20.250206+00:00,2026-08-24T02:07:20.250206+00:00,Game Announcement hot_score >= 70 and inside report period.,strauss zelnick netflix debut merely hors oeuvres full,yes,Game Announcements,include,"Major global release watch: publisher commentary reported exceptional GTA 6 pre-order demand ahead of the full launch. Include as SEA6-wide game announcement, not a local performance claim.",Take-Two CEO Strauss Zelnick described GTA 6 pre-order numbers as unprecedented and astonishing while discussing the road to the full launch.,"A major global release watch relevant across SEA6, not a local performance claim."
,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-12,,manual; regional_launch; pre_registration,Kakuchopurei,regional_gaming_media,Regional gaming media,SEA6,Three Kingdoms: Throne War opens pre-registration for iOS and Android in Southeast Asia,Three Kingdoms: Throne War opens pre-registration for iOS and Android in Southeast Asia,https://www.kakuchopurei.com/2026/08/three-kingdoms-throne-war-preregistration-ios-android-southeast-asia/,2026-08-12T00:00:00+00:00,,,,Manual SEA6 Game Announcement candidate; human approval required.,three kingdoms throne war opens pre registration ios android southeast asia,yes,Game Announcements,include,"SEA6-wide pre-registration is open in SG, MY, PH, ID, TH, and VN; iOS and Android launch stated for 01 Sep 2026.","Three Kingdoms: Throne War opened pre-registration across Southeast Asia for iOS and Android, with launch stated for 1 September 2026.",SEA6-wide pre-registration makes the launch relevant across all six markets.
,2026-08-04,2026-08-17,high_score_game_announcement,game_announcements,,,2026-08-14,,manual; regional_launch; technical_test,PinoyGamer,regional_gaming_media,Regional gaming media,SEA6,"New HTML5-based web MMORPG Ragnarok Universe had its first technical test in Southeast Asia, Taiwan, Hong Kong, and Macau","New HTML5-based web MMORPG Ragnarok Universe had its first technical test in Southeast Asia, Taiwan, Hong Kong, and Macau",https://pinoygamer.ph/articles/new-html5-based-web-mmorpg-ragnarok-universe-had-its-first-technical-test-in-southeast-asia-taiwan-hong-kong-and-macau.27963/,2026-08-14T00:00:00+00:00,,,,Manual SEA6 Game Announcement candidate; first technical test covered the region; no confirmed country-by-country launch claim.,new html5 based web mmorpg ragnarok universe first technical test southeast asia taiwan hong kong macau,yes,Game Announcements,include,"SEA6 regional context: new HTML5 MMORPG for PC and mobile; first technical test covered Southeast Asia, Taiwan, Hong Kong, and Macau. Do not claim a confirmed country-by-country launch.","Ragnarok Universe is a new HTML5 MMORPG for PC and mobile; its first technical test covered Southeast Asia, Taiwan, Hong Kong, and Macau.",Regional technical-test context is relevant across SEA6; it does not confirm a country-by-country launch.
